School,Varsity ADA points,Junior_varsity ADA points,Novice ADA points,Total ADA points
Baylor University,37.0,24.0,0.0,61.0
Binghamton University,10.0,4.0,32.0,46.0
Boston College,4.5,9.0,10.0,23.5
"California State University, Fullerton",7.5,0.0,18.0,25.5
"California State University, Long Beach",75.0,0.0,0.0,75.0
Cornell University,11.0,8.0,31.0,50.0
Dartmouth College,43.0,0.0,0.0,43.0
Emory University,128.5,27.0,19.0,174.5
George Mason University,78.5,133.0,130.0,341.5
Georgetown University,80.0,0.0,0.0,80.0
Georgia State University,1.0,6.0,0.0,7.0
Gonzaga University,69.0,0.0,0.0,69.0
Harvard University,29.0,0.0,0.0,29.0
Indiana University,29.5,25.0,69.5,124.0
James Madison University,86.0,69.0,38.0,193.0
Kansas State University,10.0,0.0,0.0,10.0
Liberty University,34.0,121.5,160.0,315.5
Macalaster College,56.5,0.0,0.0,56.5
Michigan State University,83.5,0.0,0.0,83.5
Missouri State University,23.0,43.0,0.0,66.0
New York University,17.0,40.0,0.0,57.0
Northwestern University,111.5,0.0,0.0,111.5
Purdue University,3.0,0.0,10.0,13.0
Samford University,59.0,162.0,4.0,225.0
Towson University,5.0,0.0,9.0,14.0
Trinity University,16.0,3.0,0.0,19.0
United States Military Academy,4.0,18.0,83.0,105.0
United States Naval Academy,19.0,8.0,42.0,69.0
University of Georgia,25.5,26.0,0.0,51.5
University of Houston,17.5,12.0,38.5,68.0
University of Iowa,59.0,0.0,0.0,59.0
University of Kansas,109.5,0.0,0.0,109.5
University of Kentucky,150.0,0.0,0.0,150.0
"University of Massachusetts, Amherst",3.0,0.0,0.0,3.0
University of Michigan,69.0,15.5,0.0,84.5
University of Minnesota,98.0,27.5,0.0,125.5
University of Oklahoma,19.0,0.0,10.0,29.0
University of Pennsylvania,15.0,0.0,0.0,15.0
University of Southern California,33.0,0.0,0.0,33.0
University of Texas,36.0,0.0,0.0,36.0
"University of Texas, Dallas",57.0,0.0,0.0,57.0
University of West Georgia,40.0,0.0,0.0,40.0
University of Wyoming,58.5,0.0,0.0,58.5
Wake Forest University,119.0,95.0,0.0,214.0
Wayne State University,35.5,25.0,0.0,60.5
Weber State University,3.0,4.0,0.0,7.0
Wichita State University,17.0,0.0,0.0,17.0
Missouri Valley College,0.0,16.0,0.0,16.0
University of Northern Iowa,0.0,11.0,0.0,11.0
"University of Texas, San Antonio",0.0,14.0,8.0,22.0
University of Virginia,0.0,1.0,0.0,1.0
West Virginia University,0.0,3.0,1.0,4.0
Western Kentucky University,0.0,25.0,0.0,25.0
Johnson County Community College,0.0,0.0,13.0,13.0
Suffolk University,0.0,0.0,7.0,7.0
The New School,0.0,0.0,7.0,7.0
